ID,GU,resi_y,resi_m,q1,q2,q3,q3_1_1,q3_1_2,q3_1_3,q4,q5_1,q5_2,q5_3,q5_4,q5_5,q6,q6_op,q7,q8,q9,q9_1,q9_2,q9_2_op,q3_3_1,q3_3_2,q3_3_3,q3_3_4,q3_3_5,q3_3_6,q3_3_7,q3_3_8,q3_3_9,q3_3_10,q3_3_11,q3_3_12,q3_3_13,q3_3_14,q3_3_15,q3_3_16,q3_3_16_op,q9_4,q9_5,q9_5_op,q10,q10_op,q11_1,q11_1_op,q11_2,q11_2_op,q12,q13,q13_1,q13_2,q14,q14_op,q15,q15_op,q16,q16_op,q17,q17_op,q18,q19,q20,q21_op,DM1,DM2,DM3,DM4,DM5,DM6,DM7,DM8,DM9_1,DM9_2,DM9_3,DM9_4,DM10,DM11,DM12,DM12_op,DM13,DM14,DM14_op,DM15,wg,ws
11,3,29.0,10.0,2.0,6.0,3.0,,,,3.0,3.0,5.0,3.0,3.0,4.0,5.0,,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,8.0,,5.0,1.0,6.0,50.0,1.0,,1.0,,2.0,,1.0,,1.0,3.0,5.0,,2,29,1.0,2.0,5.0,1.0,2.0,,,,,,1.0,1.0,3.0,,4.0,3.0,,1.0,255.18,0.448
12,1,3.0,10.0,5.0,6.0,5.0,8.0,2.0,1.0,2.0,6.0,4.0,6.0,6.0,5.0,1.0,,6.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,8.0,,1.0,,5.0,3.0,2.0,20.0,2.0,,2.0,,1.0,,3.0,,2.0,2.0,3.0,,2,30,1.0,3.0,3.0,3.0,2.0,,,,,,3.0,,12.0,,6.0,2.0,,2.0,198.29,0.3482
13,4,34.0,1.0,5.0,6.0,5.0,6.0,3.0,4.0,2.0,5.0,4.0,5.0,5.0,6.0,1.0,,5.0,2.0,2.0,1.0,4.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,80.0,3.0,,,,4.0,,1.0,,5.0,2.0,,,2.0,,7.0,,1.0,,1.0,,1.0,2.0,5.0,,2,35,1.0,3.0,2.0,1.0,2.0,,,,,,1.0,1.0,3.0,,6.0,3.0,,3.0,266.42,0.4678
14,4,3.0,5.0,2.0,4.0,5.0,2.0,5.0,7.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,,4.0,2.0,2.0,2.0,3.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,7.0,,,,6.0,,3.0,,2.0,2.0,,,3.0,,2.0,,1.0,,1.0,,3.0,3.0,2.0,,2,30,1.0,3.0,1.0,3.0,2.0,,,,,,1.0,1.0,2.0,,4.0,4.0,,3.0,216.81,0.3807
15,3,5.0,1.0,6.0,5.0,7.0,2.0,1.0,6.0,1.0,7.0,6.0,7.0,7.0,6.0,2.0,,6.0,2.0,2.0,1.0,2.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,60.0,5.0,,,,2.0,,3.0,,2.0,2.0,,,2.0,,2.0,,1.0,,3.0,,5.0,4.0,6.0,도로 소음. 오토바이,1,43,2.0,4.0,4.0,2.0,1.0,2.0,3.0,,,,1.0,1.0,3.0,,8.0,1.0,,2.0,508.07,0.8921
16,4,2.0,0.0,5.0,6.0,5.0,2.0,3.0,8.0,1.0,6.0,6.0,6.0,6.0,6.0,1.0,,3.0,4.0,1.0,2.0,1.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,200.0,5.0,,,,1.0,,3.0,,5.0,2.0,,,3.0,,2.0,,1.0,,4.0,,1.0,1.0,3.0,,1,45,2.0,4.0,3.0,1.0,1.0,1.0,3.0,,,,1.0,2.0,7.0,,6.0,1.0,,1.0,735.67,1.2917
17,1,2.0,5.0,5.0,5.0,4.0,,,,2.0,6.0,6.0,5.0,6.0,5.0,4.0,,4.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1.0,,4.0,3.0,2.0,60.0,3.0,,5.0,,1.0,,1.0,,2.0,3.0,2.0,"쓰레기 문제, 실생활 환경 문제, 규제",1,39,2.0,3.0,3.0,2.0,1.0,1.0,2.0,,,,1.0,6.0,4.0,,4.0,1.0,,1.0,233.83,0.4106
18,4,3.0,6.0,5.0,5.0,3.0,,,,3.0,3.0,2.0,2.0,2.0,3.0,4.0,,4.0,4.0,1.0,1.0,2.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,200.0,1.0,,,,4.0,,8.0,,4.0,3.0,6.0,200.0,3.0,,2.0,,1.0,,3.0,,1.0,2.0,3.0,,1,46,2.0,3.0,4.0,2.0,1.0,2.0,3.0,4.0,,,3.0,,3.0,,9.0,1.0,,1.0,735.67,1.2917
19,4,11.0,6.0,5.0,6.0,4.0,,,,3.0,5.0,5.0,4.0,4.0,4.0,11.0,,5.0,3.0,2.0,3.0,2.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,1.0,,,,6.0,,4.0,,4.0,2.0,,,2.0,,2.0,,1.0,,3.0,,2.0,2.0,5.0,,2,36,2.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,3.0,,9.0,1.0,,1.0,266.42,0.4678
20,2,21.0,8.0,5.0,5.0,7.0,2.0,6.0,5.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,,7.0,2.0,2.0,1.0,3.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,10.0,1.0,,,,1.0,,4.0,,5.0,2.0,,,1.0,,3.0,,5.0,,1.0,,2.0,1.0,5.0,,2,27,1.0,3.0,4.0,3.0,2.0,,,,,,1.0,4.0,2.0,,5.0,1.0,,1.0,211.0,0.3705
21,4,8.0,2.0,3.0,4.0,4.0,,,,5.0,4.0,5.0,4.0,4.0,4.0,1.0,,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,아이 방학이 짧고 애매함,5.0,,3.0,,5.0,1.0,1.0,60.0,2.0,,2.0,,1.0,,4.0,,2.0,2.0,5.0,,2,45,2.0,3.0,4.0,1.0,1.0,2.0,3.0,4.0,,,1.0,1.0,3.0,,9.0,1.0,,1.0,510.71,0.8967
22,2,2.0,0.0,5.0,4.0,4.0,,,,2.0,5.0,4.0,4.0,4.0,5.0,1.0,,5.0,2.0,2.0,1.0,2.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,2.0,,,,3.0,,5.0,,2.0,2.0,,,2.0,,2.0,,2.0,,2.0,,2.0,3.0,2.0,,1,42,2.0,3.0,3.0,2.0,1.0,1.0,2.0,,,,1.0,1.0,3.0,,9.0,1.0,,2.0,499.88,0.8777
23,1,5.0,10.0,5.0,5.0,5.0,3.0,8.0,9.0,2.0,5.0,6.0,5.0,5.0,5.0,8.0,,6.0,1.0,4.0,1.0,2.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,1.0,,,,1.0,,2.0,,4.0,2.0,,,1.0,,2.0,,2.0,,3.0,,2.0,2.0,3.0,,2,27,2.0,3.0,3.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,3.0,,4.0,1.0,,1.0,276.17,0.4849
24,2,30.0,11.0,4.0,4.0,4.0,,,,2.0,5.0,5.0,5.0,5.0,5.0,1.0,,4.0,2.0,2.0,2.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,400.0,2.0,,,,4.0,,8.0,,4.0,1.0,2.0,50.0,3.0,,2.0,,2.0,,4.0,,2.0,3.0,5.0,,2,31,1.0,2.0,4.0,3.0,2.0,,,,,,1.0,1.0,3.0,,9.0,1.0,,1.0,142.72,0.2506
25,1,2.0,6.0,5.0,6.0,5.0,4.0,1.0,7.0,2.0,5.0,4.0,4.0,5.0,6.0,11.0,,5.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,11.0,,4.0,,5.0,1.0,3.0,50.0,1.0,,2.0,,2.0,,4.0,,1.0,1.0,5.0,취약계층의 아동들의 복지 한부모가정의 복지,2,42,3.0,2.0,5.0,2.0,1.0,4.0,2.0,4.0,5.0,,3.0,,11.0,,2.0,4.0,,6.0,286.97,0.5039
26,1,23.0,6.0,2.0,1.0,4.0,,,,4.0,3.0,3.0,2.0,4.0,4.0,3.0,,3.0,4.0,2.0,1.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,1.0,,,,1.0,,8.0,,5.0,2.0,,,3.0,,5.0,,1.0,,3.0,,4.0,4.0,3.0,,1,25,1.0,1.0,5.0,1.0,2.0,,,,,,3.0,,10.0,,7.0,1.0,,3.0,1488.88,2.6141
27,2,1.0,0.0,5.0,5.0,4.0,,,,3.0,5.0,5.0,4.0,5.0,6.0,2.0,,5.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,8.0,,6.0,,3.0,1.0,3.0,20.0,2.0,,4.0,,2.0,,3.0,,2.0,2.0,2.0,,1,33,2.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,3.0,,4.0,1.0,,1.0,279.07,0.49
28,1,10.0,,3.0,4.0,4.0,,,,2.0,6.0,6.0,6.0,5.0,5.0,1.0,,5.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,,2.0,,4.0,2.0,,,3.0,,3.0,,4.0,,3.0,,2.0,2.0,3.0,,2,33,1.0,2.0,4.0,3.0,2.0,,,,,,1.0,1.0,3.0,,4.0,1.0,,1.0,198.29,0.3482
29,3,4.0,0.0,5.0,5.0,5.0,2.0,6.0,9.0,1.0,6.0,5.0,5.0,6.0,7.0,7.0,,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,6.0,,8.0,,5.0,2.0,,,1.0,,4.0,,2.0,,2.0,,1.0,1.0,5.0,,1,44,1.0,4.0,1.0,3.0,2.0,,,,,,1.0,2.0,2.0,,4.0,4.0,,2.0,508.07,0.8921
30,4,15.0,7.0,5.0,5.0,5.0,,,,2.0,5.0,4.0,5.0,5.0,4.0,7.0,,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,7.0,,10.0,,3.0,2.0,,,3.0,,4.0,,1.0,,1.0,,2.0,3.0,3.0,주차단속 완화,1,50,2.0,3.0,4.0,1.0,1.0,2.0,3.0,5.0,,,1.0,1.0,3.0,,9.0,1.0,,1.0,785.75,1.3796
31,3,2.0,1.0,6.0,6.0,4.0,,,,4.0,3.0,3.0,3.0,4.0,4.0,11.0,,4.0,4.0,2.0,1.0,2.0,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,70.0,3.0,,,,1.0,,5.0,,4.0,1.0,4.0,70.0,2.0,,4.0,,1.0,,4.0,,2.0,2.0,5.0,,2,45,2.0,3.0,7.0,2.0,1.0,5.0,2.0,3.0,4.0,6.0,1.0,3.0,11.0,,4.0,3.0,,6.0,371.67,0.6526
32,2,10.0,1.0,4.0,4.0,5.0,,,,2.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,3.0,2.0,2.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,40.0,1.0,,,,2.0,,6.0,,5.0,1.0,3.0,30.0,3.0,,5.0,,2.0,,1.0,,1.0,1.0,3.0,일자리창출,2,48,1.0,2.0,2.0,2.0,1.0,1.0,4.0,,,,1.0,2.0,4.0,,3.0,1.0,,1.0,535.2,0.9397
33,2,3.0,0.0,4.0,5.0,4.0,,,,2.0,4.0,4.0,4.0,4.0,4.0,6.0,,5.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,1.0,,8.0,,4.0,3.0,3.0,30.0,2.0,,2.0,,1.0,,1.0,,2.0,2.0,4.0,,2,32,2.0,2.0,2.0,1.0,2.0,,,,,,1.0,1.0,4.0,,6.0,1.0,,1.0,142.72,0.2506
34,2,33.0,7.0,5.0,6.0,5.0,,,,3.0,5.0,3.0,3.0,3.0,3.0,4.0,,3.0,3.0,1.0,2.0,2.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,500.0,3.0,,,,3.0,,2.0,,4.0,3.0,2.0,50.0,2.0,,2.0,,2.0,,2.0,,1.0,3.0,6.0,수원비행장 이전 및 서수원 지역 지하철 확충,1,34,2.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,,,1.0,1.0,3.0,,9.0,1.0,,1.0,279.07,0.49
35,2,3.0,0.0,5.0,6.0,4.0,,,,5.0,4.0,5.0,5.0,5.0,4.0,5.0,,5.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,40.0,2.0,,,,8.0,,1.0,,5.0,1.0,2.0,70.0,3.0,,2.0,,1.0,,1.0,,2.0,1.0,4.0,,2,32,1.0,2.0,1.0,3.0,2.0,,,,,,2.0,,9.0,,4.0,3.0,,3.0,142.72,0.2506
36,4,15.0,3.0,4.0,5.0,4.0,,,,3.0,3.0,3.0,4.0,4.0,4.0,6.0,,4.0,3.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,200.0,1.0,,,,6.0,,4.0,,4.0,2.0,,,2.0,,2.0,,2.0,,2.0,,2.0,2.0,5.0,,1,59,2.0,4.0,4.0,2.0,1.0,0.0,6.0,,,,1.0,5.0,2.0,,9.0,1.0,,1.0,2090.67,3.6707
37,1,30.0,0.0,5.0,5.0,5.0,8.0,7.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,10.0,,8.0,,4.0,3.0,2.0,60.0,3.0,,2.0,,2.0,,1.0,,2.0,2.0,4.0,,1,37,1.0,3.0,3.0,3.0,2.0,,,,,,3.0,,12.0,,6.0,1.0,,1.0,233.83,0.4106
38,4,4.0,6.0,4.0,5.0,4.0,,,,3.0,3.0,3.0,3.0,3.0,5.0,1.0,,3.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,6.0,,4.0,2.0,,,3.0,,2.0,,2.0,,2.0,,1.0,1.0,5.0,,1,39,2.0,1.0,3.0,1.0,1.0,1.0,3.0,,,,1.0,4.0,4.0,,7.0,3.0,,3.0,654.55,1.1492
39,1,20.0,2.0,3.0,5.0,5.0,,,,1.0,5.0,5.0,5.0,5.0,5.0,3.0,,5.0,1.0,1.0,1.0,2.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,1.0,,,,3.0,,9.0,,3.0,2.0,,,2.0,,1.0,,1.0,,1.0,,1.0,1.0,3.0,,2,31,2.0,2.0,2.0,2.0,2.0,,,,,,3.0,,11.0,,5.0,2.0,,2.0,198.29,0.3482
40,4,15.0,0.0,4.0,4.0,5.0,2.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,6.0,,5.0,2.0,2.0,1.0,2.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0,1.0,,,,2.0,,1.0,,4.0,2.0,,,2.0,,2.0,,1.0,,1.0,,1.0,1.0,5.0,,2,39,3.0,3.0,2.0,1.0,1.0,1.0,3.0,,,,1.0,4.0,3.0,,5.0,1.0,,2.0,266.42,0.4678
41,1,2.0,9.0,5.0,6.0,5.0,7.0,1.0,6.0,3.0,4.0,3.0,5.0,4.0,4.0,11.0,,5.0,3.0,2.0,2.0,2.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,500.0,2.0,,,,2.0,,8.0,,5.0,2.0,,,3.0,,5.0,,3.0,,2.0,,2.0,2.0,5.0,,2,38,2.0,3.0,4.0,1.0,1.0,2.0,2.0,3.0,,,1.0,1.0,1.0,,7.0,1.0,,1.0,267.21,0.4692
42,3,6.0,10.0,5.0,4.0,4.0,,,,4.0,4.0,4.0,3.0,3.0,4.0,9.0,,4.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,6.0,,4.0,2.0,,,2.0,,4.0,,1.0,,1.0,,1.0,2.0,5.0,,2,57,2.0,3.0,3.0,1.0,1.0,0.0,7.0,,,,1.0,6.0,1.0,,9.0,2.0,,3.0,488.0,0.8568
43,2,10.0,0.0,3.0,4.0,5.0,5.0,7.0,4.0,2.0,5.0,5.0,4.0,4.0,4.0,2.0,,4.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,1.0,,9.0,,5.0,2.0,,,3.0,,1.0,,2.0,,1.0,,2.0,3.0,6.0,,2,33,1.0,3.0,3.0,3.0,2.0,,,,,,1.0,1.0,2.0,,9.0,1.0,,3.0,142.72,0.2506
44,1,1.0,5.0,5.0,6.0,2.0,,,,4.0,2.0,2.0,2.0,2.0,2.0,1.0,,2.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,7.0,,3.0,1.0,2.0,13.0,3.0,,1.0,,2.0,,2.0,,1.0,1.0,2.0,,2,25,1.0,2.0,1.0,3.0,2.0,,,,,,1.0,5.0,10.0,,1.0,3.0,,3.0,276.17,0.4849
45,1,2.0,6.0,4.0,3.0,2.0,,,,4.0,3.0,3.0,3.0,3.0,3.0,1.0,,3.0,4.0,2.0,1.0,1.0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15.0,1.0,,,,3.0,,8.0,,5.0,1.0,2.0,30.0,3.0,,1.0,,1.0,,1.0,,1.0,2.0,6.0,서울-경기 기후동행카드 시스템 합치기,2,29,1.0,3.0,1.0,3.0,2.0,,,,,,1.0,2.0,2.0,,3.0,3.0,,2.0,276.17,0.4849
46,1,2.0,0.0,6.0,6.0,4.0,,,,4.0,3.0,3.0,4.0,3.0,3.0,11.0,,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,9.0,,10.0,,4.0,3.0,2.0,60.0,3.0,,2.0,,1.0,,5.0,,4.0,4.0,6.0,,1,31,2.0,3.0,3.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,3.0,,6.0,1.0,,1.0,349.9,0.6143
47,4,5.0,2.0,4.0,5.0,7.0,,,,1.0,5.0,5.0,5.0,4.0,5.0,7.0,,5.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,6.0,,5.0,1.0,3.0,120.0,1.0,,2.0,,2.0,,1.0,,1.0,1.0,5.0,,2,41,3.0,2.0,3.0,2.0,1.0,1.0,5.0,,,,3.0,,11.0,,4.0,1.0,,1.0,367.24,0.6448
48,3,15.0,0.0,4.0,5.0,5.0,3.0,5.0,7.0,3.0,4.0,4.0,4.0,3.0,3.0,11.0,,4.0,3.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0,1.0,,,,9.0,,11.0,,4.0,1.0,1.0,10.0,4.0,,4.0,,4.0,,4.0,,2.0,2.0,3.0,,2,24,1.0,3.0,4.0,1.0,2.0,,,,,,1.0,6.0,10.0,,5.0,1.0,,1.0,864.13,1.5172
49,1,11.0,2.0,5.0,4.0,5.0,,,,1.0,5.0,5.0,5.0,5.0,5.0,4.0,,6.0,5.0,1.0,1.0,2.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,1.0,,,,8.0,,7.0,,5.0,3.0,4.0,20.0,3.0,,2.0,,5.0,,1.0,,1.0,1.0,3.0,,2,29,1.0,3.0,4.0,3.0,2.0,,,,,,2.0,,4.0,,5.0,1.0,,1.0,276.17,0.4849
50,1,5.0,6.0,6.0,5.0,6.0,3.0,4.0,1.0,1.0,5.0,6.0,5.0,5.0,5.0,4.0,,6.0,3.0,4.0,1.0,2.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,1.0,,,,1.0,,3.0,,4.0,2.0,,,2.0,,2.0,,2.0,,3.0,,2.0,2.0,3.0,,2,38,2.0,3.0,4.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,3.0,,4.0,1.0,,1.0,267.21,0.4692
51,3,2.0,1.0,4.0,6.0,4.0,,,,3.0,5.0,4.0,3.0,4.0,4.0,4.0,,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,9.0,,4.0,3.0,2.0,70.0,3.0,,1.0,,1.0,,3.0,,3.0,2.0,3.0,,1,47,2.0,3.0,4.0,2.0,1.0,2.0,4.0,5.0,,,1.0,1.0,3.0,,7.0,1.0,,1.0,574.83,1.0093
