feature,f_value,p_value
DM22_35~64세,43.859981281726775,2.1204578859427132e-59
Q36_2a3_⑥,43.85225783043204,2.172316738737561e-59
DM7_50년 이상,43.720932013053755,3.2762024715784908e-59
Q36_3a1_⑦ 적극적으로 실천한다,43.57870324591641,5.113033898667507e-59
Q23m1_온라인 게임,43.18458751222207,1.7562254496954612e-58
Q22m2_(결측),43.16940385917024,1.841762196478662e-58
Q4a4_⑥,42.691214519374114,8.240530368531267e-58
Q45_3a2_⑦ 매우 충분하다,42.51848836837835,1.4162225419682357e-57
Q44_1r1_아무것도 하지 않는다,42.1763198176853,4.142060920785135e-57
Q60a1_⑤,42.071280440964145,5.759039113932423e-57
Q36_1a1_⑦ 적극적으로 실천한다,41.99280854106135,7.367116905868398e-57
DM4_중졸 이하,41.753947356337804,1.5592763286139641e-56
Q45_3a1_⑥,41.49933943889049,3.468641946676971e-56
Q38a2_⑦ 매우 안전하다,41.38319291732009,4.995861927044883e-56
Q36_3a2_⑦ 적극적으로 실천한다,41.28340761352716,6.8354252152775705e-56
Q59a4_⑦ 매우 중요하다,41.175855244381616,9.583941804122938e-56
Q60a3_④ 보통,41.157551385597216,1.0151410819788365e-55
Q41_② 위험이 다소 커질 것이다,41.12830328384794,1.1128781281119354e-55
Q60a2_⑦ 매우 중요하다,40.8216854415668,2.917916173792081e-55
SCORE2_만족,40.76967393041248,3.436413217064943e-55
DM10_아파트,40.76573926599467,3.4791987347297784e-55
H6_아파트,40.76573926599467,3.4791987347297784e-55
DM15_외벌이 가구,40.62715882935332,5.379861087356694e-55
H0a3_외벌이,40.62715882935332,5.379861087356694e-55
Q4a5_⑥,40.523064072039276,7.464254716630116e-55
Q17a6_⑥,40.387048692051145,1.1451154404479258e-54
H0a1_아파트,40.276363378127726,1.6222955451602848e-54
H0a1_그 외,40.27636337812772,1.6222955451602848e-54
Q25m4_(결측),40.26855412453635,1.6626637667134025e-54
Q56_⑤ 매우 충분하다,40.22830808359808,1.8872041343672601e-54
Q1a1_⑥,40.042784543181604,3.3842958329152125e-54
DM171_기타(60대 이상이며 이혼/별거/사별한 1인가구),39.80617030702146,7.12988419558717e-54
Q57_④ 보통,39.47272565876322,2.0386607445605953e-53
H9_1r1_전(월)세 보증금 마련,39.4607045845813,2.1173782321565266e-53
Q32_③ 보통이다,39.45880778611323,2.130073843923344e-53
Q17a3_⑥,39.305968726749796,3.4483991568288957e-53
Q5_2_없다,39.17447113409534,5.2199686410928125e-53
DM6_무교,39.156668856534964,5.521362737526476e-53
Q0a5_없음,39.156668856534964,5.521362737526476e-53
Q45_3a9_⑦ 매우 충분하다,39.08665538507764,6.88540387278194e-53
Q4a9_⑥,39.019416288062544,8.511839319868002e-53
Q59a5_⑦ 매우 중요하다,38.969161949526345,9.973804842031454e-53
Q59a8_⑦ 매우 중요하다,38.90329856343137,1.2276875816615512e-52
Q61_④ 보통,38.70622121859754,2.2862532106035037e-52
SCORE2_보통,38.70622121859754,2.2862532106035037e-52
Q10_5_사무 종사자,38.6491110449857,2.7377464752943863e-52
DM12_사무 종사자,38.6491110449857,2.7377464752943863e-52
Q36_1a3_⑦ 적극적으로 실천한다,38.59125916258817,3.2861399706215174e-52
Q62_2op_(결측),38.54609309067142,3.789628860869616e-52
Q60a11_⑦ 매우 중요하다,38.03914203759828,1.878463523779921e-51
H3_1r2_(결측),38.02559757210339,1.9605808995609e-51
H3_1r1_(결측),38.02559757210339,1.9605808995609e-51
Q59a1_④ 보통,37.97824669121296,2.2769309284157546e-51
DM5_사별,37.71819288237331,5.1788153125249406e-51
Q4a3_⑥,37.52354750458678,9.581788584437935e-51
Q45_3a3_⑦ 매우 충분하다,37.47034505614548,1.1337031473593976e-50
Q41_④ 위험이 약간 줄어들 것이다,37.15297958833287,3.0931866351625704e-50
Q60a9_⑦ 매우 중요하다,36.99917940035718,5.031908955654068e-50
Q19a2_⑥,36.95904497601961,5.713304230233168e-50
H2a2_⑤ 매우 긍정적,36.8649027375252,7.696189941559291e-50
Q17a3_④ 보통,36.70644960327686,1.2708560304353718e-49
"Q45_2_아동 지원(아동돌봄, 교육 및 체험 지원, 학대예방 등)",36.57157554997655,1.9478101823361953e-49
Q4a7_⑥,36.52410360663909,2.2637550460359497e-49
Q45_3a7_⑥,36.217397998980076,5.9803272999148546e-49
Q46_④ 보통,36.20224835259773,6.274363301292594e-49
SCORE1_관심 많음,36.038160277936875,1.055294331144109e-48
Q45_3a8_⑥,35.93361529129993,1.4698390471419474e-48
H2a1_⑤ 매우 긍정적,35.750844127594796,2.6235743827157733e-48
Q44_1r2_종교활동,35.54747403855777,4.999887105881331e-48
Q4a2_⑦ 매우 만족한다,35.541711297157995,5.0921070862505885e-48
H8_100만원 이상 ~ 200만원 미만,35.50774879832625,5.671230865570896e-48
DM13_100만원 이상 ~ 200만원 미만,35.50774879832625,5.671230865570896e-48
Q59a11_⑦ 매우 중요하다,35.492331980614246,5.95543103781617e-48
Q18a3_④ 보통,35.374700637816844,8.648903726933467e-48
H0a12n1_중졸 이하,35.16912027303667,1.660495265176668e-47
Q60a4_⑦ 매우 중요하다,34.92707024578645,3.579994864241807e-47
Q61_⑥,34.91502686446492,3.719515720192725e-47
Q38a1_④ 보통,34.71009370279708,7.129698596234646e-47
Q44a5_전혀 없었음,34.44923926230325,1.632656181614732e-46
Q59a7_⑦ 매우 중요하다,34.24983820206815,3.0764211510774894e-46
Q59a12_⑦ 매우 중요하다,34.01892549175707,6.4088986935113396e-46
Q36_2a3_⑦ 적극적으로 실천한다,33.77588009162108,1.3879963333350802e-45
"Q13_직업(취업, 사업, 직장이전 등)",33.749415666149105,1.509866884118171e-45
Q20a1b2,33.742838243340344,1.541782259451255e-45
Q60a4_④ 보통,33.64714783740172,2.090237573864885e-45
Q30a1_맨손체조나 공원 내 운동기구 이용,33.34588627605322,5.4505142483049246e-45
Q49a4_① 전혀 신뢰하지 않는다,33.283227392154814,6.653258547184059e-45
Q45_3a6_⑥,33.25731525620971,7.22517380773959e-45
Q60a1_⑦ 매우 중요하다,33.22116608896953,8.106126759870867e-45
Q60a2_④ 보통,33.20319441948914,8.583307806933111e-45
Q60a3_⑦ 매우 중요하다,33.131109843857864,1.0796924574388728e-44
Q60a10_④ 보통,33.101256073242155,1.1873294478984652e-44
Q59a3_④ 보통,33.06179096528046,1.3462705514365124e-44
Q49a5_① 전혀 신뢰하지 않는다,32.97229702085299,1.7900734948757407e-44
Q19a2_⑦ 매우 만족한다,32.965664162882604,1.82827875459272e-44
Q1a3_⑥,32.95427734495314,1.8957789036640724e-44
Q51_1a5_그렇다,32.936987386322116,2.0030699286453717e-44
Q51_1a5_아니다,32.93698738632204,2.0030699286457418e-44
Q44a6_전혀 없었음,32.70589347785345,4.181281676435582e-44
Q45_3a8_⑦ 매우 충분하다,32.65402067410722,4.932496134086864e-44
Q15_3a1,32.560977224900526,6.634228307256254e-44
Q38a1_① 전혀 안전하지 않다,32.46546790639337,8.993810656946962e-44
Q45_3a4_⑥,32.34893292304828,1.3038106837506273e-43
Q44a4_전혀 없었음,32.31056705896132,1.4733786839688134e-43
Q60a11_④ 보통,32.05381551446507,3.3399843341580838e-43
Q60a5_⑦ 매우 중요하다,31.979464012153283,4.233468965564312e-43
H0a11n1_사별,31.9019578087584,5.420361519372301e-43
Q54a1_진행한 적 없다,31.89608114286703,5.5228957397075185e-43
Q38a5_⑥,31.835775362021774,6.694039179453886e-43
H0a9n1_남,31.76397225693096,8.41671178040557e-43
H0a9n1_여,31.763972256930817,8.41671178040856e-43
Q51_1a4_그렇다,31.758358307823638,8.568775122755424e-43
Q51_1a4_아니다,31.758358307823638,8.568775122755424e-43
"H0a5n3_본인 또는 배우자의 형제, 자매",31.748183977604015,8.851402918076199e-43
Q4a5_⑦ 매우 만족한다,31.630069583693075,1.2901428099998807e-42
Q60a10_⑦ 매우 중요하다,31.61418016634165,1.3572246580666425e-42
Q59a3_⑦ 매우 중요하다,31.51080596660633,1.887484622778649e-42
Q40_② 위험이 약간 커졌다,31.46054489802771,2.2158022475892983e-42
Q20a2b1,31.156860262903365,5.840593589262602e-42
Q4a7_④ 보통,31.01000556944284,9.33407558467427e-42
Q36_2a1_⑦ 적극적으로 실천한다,31.002431300014646,9.562560329749719e-42
Q44_1r2_(결측),30.88420037618693,1.3948699324012274e-41
H2a1_③ 보통,30.85562466182431,1.528149391721938e-41
Q1a2_④ 보통,30.788591833543663,1.8929574777709117e-41
Q2a3_⑤ 보통,30.583757075283433,3.641679847265706e-41
Q60a8_⑦ 매우 중요하다,30.539273696518144,4.1978102078650597e-41
Q58_④ 많은 편이다,30.47358020798819,5.178213356133688e-41
Q4a9_④ 보통,30.46036990514156,5.401466948988179e-41
Q2a5_⑤ 보통,30.421654392413316,6.112779090286794e-41
Q38a4_⑥,30.289624806826566,9.321430536214657e-41
Q9a2_②,30.28458542975289,9.472778326601987e-41
Q59a6_⑦ 매우 중요하다,30.20667328955128,1.2151443861066278e-40
"Q35_불편하지 않으나, 동참할 필요성은 없다",30.200221577684914,1.2404637460606851e-40
Q30a1_어린이 놀이터 이용,30.168677825417333,1.3720624443473626e-40
Q9a2_③ 보통,30.120110973998347,1.6025043873861592e-40
Q36_2a2_⑦ 적극적으로 실천한다,30.00610633347324,2.307221513828085e-40
Q15_4_⑤,29.986374814052663,2.4574690409662162e-40
Q49a1_⑤,29.92460303380741,2.994109896605069e-40
Q45_3a9_④ 보통,29.860082455418162,3.680206380767823e-40
DM33_광교생활권,29.835381012045637,3.982712251166768e-40
DM3_장안구,29.524983457408787,1.0749127740254618e-39
DM31_장안구,29.524983457408787,1.0749127740254618e-39
Q38a3_④ 보통,29.514737209733166,1.1107338891766053e-39
Q59a11_④ 보통,29.468299563528497,1.2886527798226747e-39
Q44a1_일주일 미만,29.365728756501387,1.7892615786444327e-39
DM25_X세대,29.290229247511746,2.2782655953916494e-39
Q45_3a6_④ 보통,29.290148608431803,2.2788536273549818e-39
Q59a5_④ 보통,29.18762799318769,3.1638656706236574e-39
Q4a5_④ 보통,29.15626871886304,3.497926070657166e-39
Q59a9_⑦ 매우 중요하다,29.106641717935513,4.100160652121989e-39
Q4a8_⑥,29.01522491310704,5.494117995574005e-39
Q17a1_⑤,28.963857570401718,6.476208420216584e-39
Q60a7_④ 보통,28.955961280277076,6.642024904980515e-39
Q59a6_④ 보통,28.712195106757022,1.449803575195547e-38
Q34_내용과 의미를 잘 알고 있다,28.505355642450173,2.8122029651116865e-38
Q16_자차(승용차),28.480575046270324,3.044559147210214e-38
Q4a4_④ 보통,28.36251767733497,4.4442138780805884e-38
Q10_4_대기업,28.240253064505165,6.575752823294762e-38
DM122_대기업,28.240253064505165,6.575752823294762e-38
Q15_1_현재 살고 있는 구 내 다른 동,28.23377181933052,6.713761170092599e-38
Q4a6_⑥,28.233536838187675,6.718818807323566e-38
Q25m1_생활권공원(근린공원，소공원，어린이공원 등),28.200783858759475,7.462403127702656e-38
Q48_1_하루에 한번,28.172870772034944,8.16074434341745e-38
Q60a1_④ 보통,28.13585022096688,9.188809242472698e-38
Q59a9_④ 보통,28.07969765660423,1.1000777700309418e-37
Q27a2_④ 보통,28.035452736871527,1.2676985771478944e-37
Q45_4r1_정신건강 및 심리정서 지원,28.00871631515293,1.3811376794361527e-37
"Q37r1_‘재생에너지’(태양열, 풍력 등 청정에너지) 확대",27.992108241594913,1.456660822639306e-37
Q49a1_⑦ 매우 신뢰한다,27.91391753895289,1.8716323992520424e-37
Q15_4_⑥,27.87509050992249,2.1197368589956783e-37
Q59a8_④ 보통,27.73388363902827,3.333613719671381e-37
Q18a4_④ 보통,27.721769174246177,3.465664297024361e-37
Q51_2a5_그렇다,27.660863557557676,4.213185016471373e-37
Q51_2a5_아니다,27.660863557557636,4.213185016472151e-37
H0a12n3_고졸,27.60448468835818,5.048190487364667e-37
Q44a2_전혀 없었음,27.531056378517665,6.3887470708715755e-37
Q50a1_⑦ 매우 동의한다,27.443461697764644,8.46136108504376e-37
Q59a10_⑦ 매우 중요하다,27.431622418087464,8.788890060173478e-37
Q9a3_②,27.39176328231855,9.987693750800933e-37
Q36_4a2_⑦ 적극적으로 실천한다,27.21532752298484,1.7591584374147273e-36
Q39a2_⑥,27.192297629590286,1.894078056187669e-36
Q42_③ 보통이다,27.173978389894316,2.0087549806833256e-36
Q44a3_전혀 없었음,27.16834559293155,2.0453929763574747e-36
Q2a4_⑤ 보통,27.054760371304617,2.944956394649023e-36
Q27a2_⑦ 매우 그렇다,27.02744826340798,3.2147450687469024e-36
Q33a1_④ 보통,27.022426583218735,3.266975669785988e-36
DM3_팔달구,27.015183008181246,3.343815257277148e-36
DM31_팔달구,27.015183008181246,3.343815257277148e-36
Q9a1_③ 보통,26.90659468175944,4.7381324381277135e-36
H0a12n2_전문대 졸업,26.89112686074595,4.979318208939092e-36
Q45_3a6_⑦ 매우 충분하다,26.84010682540685,5.8653828737129616e-36
Q32_2_(결측),26.746632465102067,7.918062917386126e-36
Q38a2_④ 보통,26.71361995908356,8.803362545918207e-36
DM33_남수원생활권,26.687220566753982,9.582057402384957e-36
"H6_주택 외 거주(오피스텔, 고시원, 상가, 공장 등)",26.584990438676254,1.3304993197930095e-35
DM10_주택 외 거주,26.584990438676254,1.3304993197930095e-35
Q17a3_③,26.45894422561028,1.9943628379557724e-35
Q45_3a3_④ 보통,26.436401067403526,2.1441072591476862e-35
Q60a6_⑦ 매우 중요하다,26.360124637563683,2.739302074311533e-35
Q59a1_⑤,26.343527216079377,2.889295049582331e-35
"Q45_1_노인 대상 시설(노인복지관, 경로당, 치매센터 등)",26.331183548160443,3.0061491494156467e-35
Q27a2_⑥,26.29454427453319,3.3815934358300195e-35
DM121_고용원이 없는 자영업자,26.294273886317587,3.384531686822851e-35
Q10_1_고용원이 없는 자영업자,26.294273886317587,3.384531686822851e-35
Q17a1_④ 보통,26.2719995480208,3.6355637909109675e-35
H3a2_④ 별로 그렇지 않다,26.26236899398719,3.7497891005228055e-35
Q60a7_⑦ 매우 중요하다,26.240480274837527,4.0229364307256055e-35
Q62_2op_교통문제,26.23763678096143,4.0598510697369865e-35
Q54a2_진행한 적 없다,26.20899864922359,4.451061594951821e-35
Q51_2a4_아니다,26.119148130899557,5.94051053625818e-35
Q51_2a4_그렇다,26.119148130899557,5.94051053625818e-35
"Q8_1m2_보험(종신보험, 암보험 등)",26.11114751067051,6.095185254340866e-35
DM14_⑧,26.110613194985465,6.105657458371353e-35
Q52_⑧,26.110613194985465,6.105657458371353e-35
Q59a4_④ 보통,25.895787320968942,1.2176228495281712e-34
