지표명,산출방법,단위,출처,year,value
외국인 총인구,"수원기본통계 내 외국인 인구
▶외국인 등록현황 내 외국인 총계
",명,"경기도 수원시, 「수원기본통계」",2010,27146.0
결혼이민자 수,"국민과의 혼인관계를 바탕으로 국내에 체류하고 있는 외국인으로서 F-2-1(국민의배우자 구 체류자격), F-5-2(결혼이민 영주자격), F-6-1(국민의 배우자) F-6-2(자녀양육), F-6-3(혼인단절) 체류 자격 소지자
※ 수원시는 수원시와 구별 인구의 합
",명,"법무부, 「출입국자및체류외국인통계」",2010,3448.0
다문화가정 학생 수,"국제결혼가정 학생과 외국인 가정 학생의 합(행정구역별 소계)
▶국제결혼 가정_국내출생: 한국인 부(모)와 외국인 모(부) 사이에 태어난 자녀 중 국내에서 출생한 자녀
▶국제결혼 가정_중도입국: 한국인 부(모)와 외국인 모(부) 사이에 태어난 자녀 중 외국인 부(모)의 한국 국적취득여부와 관계없이 외국에서 태어나 부모와 함꼐 중도에 국내로 입국한 자녀
▶외국인 가정: 부모가 모두 외국인이며 한국에 함께 거주하고 있는 가정의 자녀
▶교육기본통계조사 결과로, 조사기준일(매년. 4. 1.)에 따른 통계이며 공표 후 변동 없음. 유사 자료인 정보공시 자료는 수시로 수정 가능한 공시 자료로 본 통계와 다를 수 있음
",명,"한국교육개발원 국가교육통계연구본부, 국가교육통계센터 내 교육통계 데이터베이스",2010,
외국인 유학생 수,"체류자격이 유학(D-2), 일반연수(D-4) 중 ‘대학부설 어학원 연수(D-4-1), 외국어연수생(D-4-7)’인 자 
▶기준일자: 2010-2014년 1월 1일, 2015-2023년 11월1일(2015년은 11월 1일자로 데이터 구축)
",명,"행정안전부, 「지방자치단체외국인주민현황」",2010,1548.0
1인가구 비율,"일반가구 중 1인가구 수와 1인가구가 차지하는 비율
※ 1인가구 비율 = (1인가구 수 ÷ 일반가구 수) ×100
▶2010년 총가구수 대비 1인가구 비율
▶2015-2023년 일반가구를 대상으로 집계. 단, 집단가구(6인 이상 비친족 가구, 집단시설가구(기숙사, 사회시설 등)) 및 외국인가구 제외
","가구, %","통계청, 「인구총조사」",2010,24.830752283373617
1인가구 수,,,,2010,92869.0
가구 수,"인구총조사 기준 총 가구수
▶일반가구, 집단가구, 집단시설가구, 외국인가구 등을 모두 포괄하는 총 가구 수
",가구,"통계청, 「인구총조사」",2010,382504.0
평균 가구원 수,"일반가구의 평균 가구원수
※ 평균가구원수 = ∑ (가구원수 × 가구수) ÷ 가구수
▶일반가구(가족으로 이루어진 가구, 가족과 5인 이하의 남남이 함께 사는 가구, 1인가구, 가족이 아닌 남남끼리 함께 사는 5인 이하의 가구)를 대상으로 집계. 단, 집단가구(6인이상 비친족가구, 기숙사, 사회시설 등) 및 외국인가구 제외(내국인(한국인)과 함께 살고 있는 외국인은 일반가구원으로 집계)
",명,"통계청, 「인구총조사」",2010,2.8
다문화 가정 수,"귀화자 등이 있는 가구 또는 외국인이 한국인(귀화자 등 포함)과 혼인으로 이루어진 가구 또는 그 자녀가 포함된 가구
▶귀화자 등: 국적법상 귀화·인지에 의한 국적취득자로 현재 대한민국 국민인 자(국적회복자 제외)
",가구,"통계청, 「인구총조사」",2010,12310.0
반려동물 보유가구 비율,"반려동물이 ""있다""는 응답 비율
▶2016년은 경기도사회조사 기준",%,"경기도, 「경기도사회조사」
경기도 수원시, 「수원시사회조사」",2010,
재정총량,"일반회계 + 특별회계 + 기금
▶회계연도 기준
",백만원,지방재정365(지방재정통합공개시스템),2010,
자체재원,"자체재원(2010년~2013년) = 지방세수입 + 세외수입 + 지방채및예치금회수
자체재원(2014년~2024년) = 지방세수입 + 세외수입 + 지방채 + 보전수입등 및 내부거래 
▶회계연도 기준
",백만원,지방재정365(지방재정통합공개시스템),2010,718968.0
이전재원,"지방교부세 + 조정교부금등 + 보조금
▶회계연도 기준",백만원,지방재정365(지방재정통합공개시스템),2010,434310.0
재정자립도,"일반회계의 세입중 지방세와 세외수입의 비율
※ 재정자립도 = (지방세 + 세외수입) ÷ 자치단체 예산규모 × 100
▶높을수록 재정운영의 자립능력이 우수함을 의미
▶산정기준: 일반회계, 당초예산 (전국평균 및 시도별 평균: 순계 기준, 자치단체: 총계 기준)
▶2014년 세입과목 개편(잉여금, 이월금, 예탁·예수금이 세외수입에서 제외)됨
",%,행정안전부(재정정책과),2010,
세입과목 개편 후,,,,2010,
세입과목 개편 전,,,,2010,64.0
재정자주도,"전체 세입에서 자치단체가 편성·집행할 수 있는 재원의 비율
※ 재정자주도=(자체수입 + 자주재원) ÷ 자치단체예산규모 X 100
▶높을수록 재정운용의 자율성이 좋다는 것을 의미
▶산정기준: 일반회계, 당초예산 (전국평균 및 시도별 평균: 순계 기준, 자치단체: 총계 기준)
▶2014년 세입과목 개편(잉여금, 이월금, 예탁·예수금이 세외수입에서 제외)됨",%,행정안전부(재정정책과),2010,
세입과목 개편 후,,,,2010,
세입과목 개편 전,,,,2010,75.1
복지재정 지출,"일반회계중 사회복지예산비중
▶지방자치단체가 당해연도에 사회복지분야(기초생활보장, 취약계층지원, 보육·가족 및 여성, 노인·청소년, 노동, 보훈, 주택, 사회복지일반)와 보건분야(보건의료, 식품의약안전)의 예산액이 전체예산액에서 차지하는 비율
※ 일반회계중 사회복지예산비중={(사회복지분야 예산액 + 보건분야 예산액) ÷ 전체 예산액} × 100
",%,행정안전부(회계제도과),2010,26.9
고용률,"반기, 분기별 고용률의 경우 단순평균으로 연간 고용률 산출
▶2015년 인구총조사(등록센서스) 결과를 토대로 소급작성된 추계인구의 변경을 반영하여 2008년부터 2017년 상반기까지의 자료를 변경하였음

",%,"통계청, 「지역별고용조사」",2010,57.4
실업률,"반기, 분기별 실업률의 경우 단순평균으로 연간 실업률 산출
▶2015년 인구총조사(등록센서스) 결과를 토대로 소급작성된 추계인구의 변경을 반영하여 2008년부터 2017년 상반기까지의 자료를 변경하였음
",%,"통계청, 「지역별고용조사」",2010,3.6
기업수,"활동기업: 비영리기업을 제외한 국내 영리기업 중 당해연도에 매출액이 있거나, 상용근로자가 있는 기업
▶국세청 사업자등록자료 중 약 750만개 활동영리기업 (표준산업분류상 O, T, U 제외), 10차개정(2011~) 기준
",개,"통계청, 「기업생멸행정통계」 ",2010,
소상공인사업체수,"소상공인은 소기업 중 상시근로자가 10인 미만(광업, 제조업, 건설업, 운수 및 창고업) 또는 5인 미만(기타 업종)인 기업
▶구단위 합으로 시 산출
▶통계청 기업통계등록부(Statistical Business Registers) 재편 ·가공
▶작성대상은 기준시점(연말) 당시 영리기업임
▶해당자료는 기업 단위로 작성됐기 때문에, 사업체 단위 통계와 상이하니 사용 시 유의
",개,"중소벤처기업부, 「중소기업기본통계」",2010,
지역내 총생산(GRDP),"지역내총생산(시장가격)
▶2020년 기준",백만원,"경기도, 「경기도지역내총생산」",2010,
명목,,,,2010,
실질,,,,2010,
수출액,"수출액
▶조회조건: 품목-HSK, 지역-전국, 서을, 경기, 수원, 성남, 고양, 용인, 화성,  당월/누계-당해, 단위-금액 - 천불
",천불,"한국무역협회, 「K-stat 무역통계」 ",2010,
창업률,"※ 창업률 = (신생기업 수 ÷ 활동기업 수) × 100
▶활동기업: 비영리기업을 제외한 국내 영리기업 중 당해연도(t)에 매출액이 있거나, 상용근로자가 있는 기업
▶신생기업: 당해연도(t)와 전년도(t-1)의 활동 영리기업DB 비교를 통해 새로운 경제활동을 시작하여 매출액 또는 상용근로자가 존재하는 기업 (기존 기업일지라도 대표자, 주소, 산업활동(산업 중분류 기준) 중 2개 이상이 동시에 변경된 경우에는 신생기업으로 분류)
▶국세청 사업자등록자료 중 약 750만개 활동영리기업 (표준산업분류상 O, T, U 제외), 10차개정(2011~) 기준
",%,"통계청, 「기업생멸행정통계」 ",2010,
벤처기업수,"「벤처기업육성에관한특별조치법」 제2조에 의해 벤처기업으로 확인·지정한 모든 벤처기업체의 수
※ 연도별 벤처기업 수는 벤처확인유형별 기업 수의 합
",개사,"중소벤처기업부, 벤처확인종합관리시스템",2010,477.0
여성기업 수,"여성대표자 사업체 수
",개,"경기도 수원시, 「사업체조사」",2010,22963.0
주택보급률,"※ 주택보급률 = 주택수 ÷ 일반가구수 × 100
▶국토교통부 새로운 산정방식 적용, 다가구 단독주택 산정방식이 변경(동 → 호), 2005년부터~게재, 국토부 新산정방식과 불합. 수원시는 통계정확성을 위해 이를개선, 5년마다 실시중인 인구주택 총조사를 기준으로 세움터에 입력되는 월별 순증분(신축,멸실)을 반영하여 다가구 주택의 호수를 반영 산출한 값
",%,"경기도 수원시, 「수원기본통계」",2010,
주택가격,,,,2010,
매매가격지수,"기준시점의 가격을 100으로 하여 상대적 가격 수준을 지수화(종합)
▶기준: 2021.06.=100.0(시점 변경(기존:'17.11. → 변경: '21.06.)에 따른 데이터 변경)
▶수원기본통계 내 주택가격지수에서 제공하는 주택매매가격지수(종합)임
",,"경기도 수원시, 「수원기본통계」",2010,
전세가격지수,"기준시점의 가격을 100으로 하여 상대적 가격 수준을 지수화(종합)
▶기준: 2021.06.=100.0(기준시점 변경(기존:'17.11. → 변경: '21.06.)에 따른 데이터 변경)
▶수원기본통계 내 주택가격지수에서 제공하는 주택전세 가격지수(종합)임
",,"경기도 수원시, 「수원기본통계」",2010,
미분양주택수,"미분양 건 수
▶연도별 미분양 주택은 매년 12월 기준",호,"국토교통부, 「미분양주택현황보고」",2010,3708.0
주거환경만족도,"※ 주택 만족도 = 5점 척도 중 ""매우 만족"" + ""약간 만족"" 응답 비율
",%,"경기도 수원시, 「수원시사회조사」",2010,
노후주택비율,"전체 주택 대비 30년 이상 된 주택 비율
※ 노후주택비율(%) = (30년 이상 된 주택 수 ÷ 전체 주택 수) × 100
",%,통계청(인구총조사과),2010,
비주택거주가구비율,"인구주택총조사(전수조사)의 주택이외의 거처(오피스텔, 숙박업소, 기숙사 사회시설, 판잣집 비닐하우스, 기타) 중 오피스텔을 제외한 거주가구 비율
※ 비주택 거주가구 비율 = ((주택이외의 거처 가구 수 - 오피스텔 가구 수) ÷ 전체 가구 수) × 100
",%,"통계청, 「인구주택총조사고보서」",2010,
아파트 수,"아파트 수
",호,"경기도 수원시, 「수원기본통계」",2010,190924.0
주관적 건강수준 인지율,"평소에 본인의 건강이 ""매우 좋은"" 또는 ""좋은""이라고 응답한 사람의 분율
▶표준화율: 연도 및 지역간 비교를 위해 인구구성 차이에 따른 영향을 표준인구(2005년 추계인구, 통계청)로 보정한 결과
",%,"질병관리청, 「지역사회건강조사」",2010,46.7
흡연율,"평생(지금까지) 5갑(100개비) 이상 흡연한 사람으로서 현재 흡연하는 사람(""매일 피움"" 또는 ""가끔 피움"")의 분율
▶표준화율: 연도 및 지역간 비교를 위해 인구구성 차이에 따른 영향을 표준인구(2005년 추계인구, 통계청)로 보정한 결과
",%,"질병관리청, 「지역사회건강조사」",2010,24.8
건강생활 실천율,"금연, 절주, 걷기를 모두 실천하는 사람의 분율
▶금연 실천자: 평생 흡연해본 적이 없거나, 과거 흡연하였더라도 현재 금연하고 있는 사람
▶절주 실천자: 비음주자이거나, 최근 1년동안 술을 마셨더라도 한 번의 술자리에서 남자는 7잔 미만, 여자는 5잔 미만으로 주 1회 이하로 마신 사람
▶걷기 실천자: 최근 1주일 동안 1일 30분 이상 걷기를 주 5일 이상 실천한 사람
▶표준화율: 연도 및 지역간 비교를 위해 인구구성 차이에 따른 영향을 표준인구(2005년 추계인구, 통계청)로 보정한 결과
",%,"질병관리청, 「지역사회건강조사」",2010,29.9
만성질환 유병율,"만성질환(비만, 당뇨, 고혈압)이 있는 사람의 비율(표준화율)
▶당뇨병/고혈압: 의사에게 당뇨병/고혈압을 진단받은 30세 이상 사람의 분율(%)
▶비만: 체질량지수(kg/㎡)가 25이상인 사람의 분율(%)
  - 2018년 연도비교 및 해석 시 주의 (2018년: 자가보고 키/몸무게 설문 시 신체계측을 병행하여 실시, 2008-2017년, 2020년: 자가보고 키/몸무게만 설문)
  - 2019년 조사시 자가보고 키/몸무게를 설문하지 않음에 따라 시계열 단절이 발생
▶표준화율(%): 연도 및 지역간 비교를 위해 인구구성 차이에 따른 영향을 표준인구(2005년 추계인구, 통계청)로 보정한 결과",%,"질병관리청, 「지역사회건강조사」",2010,
당뇨병,,,,2010,7.6
고혈압,,,,2010,18.3
비만,,,,2010,21.9
치매 유병율,"65세 이상 추정치매유병률
※ 추정치매유병률 = (치매환자 유병현황 내 추정지매환자수 ÷ 65세 이상 노인인구) × 100
▶2015년~2023년: 2016년 전국 치매역학조사(보건복지부·분당서울대병원, 2017) 표준화 유병률 적용
▶노인인구수: 2015년~2023년 주민등록연앙인구 (통계청, 각년도)
",%,"중앙치매센터, 「치매유병현황」 
",2010,
미충족 의료율,"최근 1년 동안 본인이 병의원(치과 제외)에 가고 싶을 때 가지 못한 사람의 분율
▶표준화율: 연도 및 지역간 비교를 위해 인구구성 차이에 따른 영향을 표준인구(2005년 추계인구, 통계청)로 보정한 결과
",%,"질병관리청, 「지역사회건강조사」",2010,
인구천명당 의료기관병상수,"인구 천명당 의료법 제3조에 규정된 “의료기관”의 전체 병상수
※ 인구천명당 의료기관병상수=(총병상수 ÷ 주민등록인구) × 1,000
▶의료기관: 종합병원, 병원, 치과병원, 한방병원, 요양병원, 의원, 치과의원, 한의원, 조산원
",개,건강보험심사평가원(자원평가실),2010,7.6
의료서비스접근성,"건강보험 대상자 진료실적(지급 기준) 내 지급 건 수
▶지급기준(잠정치)임
▶소수점 미만을 반올림한 것으로 합계(내원일수 제외)와 일치하지 않을 수 있음
",건,"경기도, 「경기도기본통계」",2010,27145500.0
삶의 만족도,"최근 자신의 삶에 대한 만족도 
※ 0점 척도(ⓞ전혀 만족하지 않는다~⑩매우 만족한다)의 평균 점수",점,"경기도 수원시, 「수원시사회조사」",2010,
행복감,"어제 느낀 행복 정도
※ 10점 척도(ⓞ한번도 행복하지 않았다~⑩자주 행복했다)의 평균 점수",점,"경기도 수원시, 「수원시사회조사」",2010,
우울감,"최근 1년 동안 연속적으로 2주 이상 일상생활에 지장이 있을 정도의 우울감(슬픔이나 절망감 등)을 경험한 사람의 분율(%)
▶표준화율: 연도 및 지역간 비교를 위해 인구구성 차이에 따른 영향을 표준인구(2005년 추계인구, 통계청)로 보정한 결과
",%,"질병관리청, 「지역사회건강조사」",2010,4.8
일과 생활의 균형 만족도,"현재 일(학업, 가사노동 등)과 여가생활 간 균형이 잘 이루어지고 있다에 대한 ""그렇다"" 응답 비율
※ 만족도 = 7점 척도 중 ⑤+⑥+⑦ 매우 그렇다 응답 비율",%,"수원시정연구원, 「수원서베이」",2010,
초미세먼지 일평균 농도,,,,2010,
미세먼지(PM-10),미세먼지(PM-10) 농도,㎍/㎥,"에어코리아, 경기도 대기환경정보 사이트",2010,
초미세먼지(PM-2.5),초미세먼지(PM-2.5) 농도,㎍/㎥,"에어코리아, 경기도 대기환경정보 사이트",2010,
초미세먼지 주의보 발령일수,,,,2010,
미세먼지(PM-10) 주의보 발효,해당지역의 PM-10 시간당 평균농도가 150㎍/㎥ 이상 2시간 이상 지속인 때,건,"에어코리아, 경기도 대기환경정보 사이트",2010,
초미세먼지(PM-2.5) 주의보 발효,해당지역의 PM-2.5 시간당 평균농도가 75㎍/㎥이상 2시간 이상 지속인 때,건,"에어코리아, 경기도 대기환경정보 사이트",2010,
미세먼지(PM-10) 경보 발효,해당지역의 PM-10 시간당 평균농도가 300㎍/㎥이상 2시간 이상 지속인 때,건,"에어코리아, 경기도 대기환경정보 사이트",2010,
초미세먼지(PM-2.5) 경보 발효,해당지역의 PM-2.5 시간당 평균농도가 150㎍/㎥ 이상 2시간 이상 지속인 때,건,"에어코리아, 경기도 대기환경정보 사이트",2010,
1인당 온실가스 배출량,"1인당 온실가스 배출량(산업 부문 제외)
▶국가 온실가스 종합정보센터(GIR) 공표 자료 가공",톤CO2eq/인,"경기도 수원시, 기후변화대책 ",2010,
대기질 만족도,"현재 살고 있는 지역(동네)의 대기환경(미세먼지, 악취, 매연, 오존경보) 만족도
※ 만족도 = 5점 척도 중 ""매우좋다"" + ""약간좋다"" 응답 비율",%,"경기도, 「경기도사회조사」",2010,
친환경 자동차 비율(보급율),"등록 차량 중 친환경 자동차 비율
※ 친환경 자동차 비율(보급율) = (친환경자동차(하이브리드차 + 전기차 + 수소차) 수/전체 자동차수) × 100",%,자동차관리정보시스템,2010,
전체 등록 차량 수,"자동차관리정보시스템에 등록된 자료 기준, 매년 12월 자료 기준",대,자동차관리정보시스템,2010,
등록 하이브리드 차 수,"자동차관리정보시스템에 등록된 자료 기준, 매년 12월 자료 기준
▶2023년은 경기도 수원시 기본통계 기준",대,"자동차관리정보시스템
경기도 수원시, 「수원기본통계」",2010,
등록 전기차 수,"자동차관리정보시스템에 등록된 자료 기준, 매년 12월 자료 기준",대,자동차관리정보시스템,2010,
등록 수소차 수,"자동차관리정보시스템에 등록된 자료 기준, 매년 12월 자료 기준",대,자동차관리정보시스템,2010,
신재생에너지 보급률,"신·재생에너지 생산량(toe), 총발전량(MWh), 보급용량(발전_누적, 신규(kW))","생산량(toe), 총발전량(MWh), 보급용량(kW)","한국에너지공단 신·재생에너지센터, 신･재생에너지 보급통계",2010,
생산량,,toe,"한국에너지공단 신·재생에너지센터, 신･재생에너지 보급통계",2010,
총발전량,,MWh,"한국에너지공단 신·재생에너지센터, 신･재생에너지 보급통계",2010,
보급용량: 발전_누적,,kW,"한국에너지공단 신·재생에너지센터, 신･재생에너지 보급통계",2010,
보급용량: 발전_신규,,kW,"한국에너지공단 신·재생에너지센터, 신･재생에너지 보급통계",2010,
1인당 생활폐기물 발생량,"주민 1인당 배출하는 생활계폐기물의 양
※ 주민1인당 생활계폐기물배출량 = (폐기물발생량 ÷ 주민등록인구) × 1000
▶2020년 수치는 연간폐기물 발생량에 366일을 나누어 환산한 수치임
▶주민 수: 주민등록상 해당 지역에 거주하고 있는 주민의 수
▶폐기물: 사람의 생활이나 사업활동에 필요하지 않게 된 물질
▶생활계폐기물: 가정생활폐기물 + 사업장생활계폐기물(사업장비배출시설계폐기물)
",kg/일,"환경부(폐자원관리과)
",2010,1.0
생활계폐기물 재활용률,"발생되는 폐기물 중 재활용 되는 생활계폐기물의 비율
※ 생활계폐기물 재활용률 = (총재활용량 ÷ 생활계폐기물 총발생량) × 100
▶2020년 수치는 연간폐기물 발생량에 366일을 나누어 환산한 수치임
▶생활계폐기물: 생활(가정)폐기물 + 사업장비배출시설계폐기물
",%,"환경부(폐자원관리과)
",2010,58.8
1인당 공원 면적,"1인당 공원면적 = 도시공원 면적(㎡) ÷ 주민등록인구(명)
※ 공원면적: 도시공원 및 녹지 등에 관한 법률 제15조 제1호에 따른 분류, 조성기준
▶ 공원면적 단위조정(천㎡  →  ㎡) 등으로 경기데이터드림의 자료와 다름
▶ 전체인구 및 행정구역기준 인구는 행정안전부 ""주민등록 인구통계"" 사용
",㎡/인,"▶공원: 경기도 수원시, 「수원기본통계」(자료: 경기도 정원산업과)
▶도시인구: 한국국토정보공사, 「도시계획현황」",2010,
녹지환경 만족도,"현재 살고 있는 지역(동네)의 녹지환경(자연경관 및 공원, 녹지 등) 만족도 
※ 5점 척도 중 ""매우좋다+약간 좋다"" 응답 비율",%,"경기도 수원시, 「수원시사회조사」",2010,
주차장확보율,"주차장의 수를 자동차등록대수로 나눈 비율
※ 주차장확보율 = (주차장면수 ÷ 자동차등록대수) × 100
▶주차장: 자동차 등의 주차에 필요한 독립적인 시설을 갖춘 부지와 주차전용 건축물 및 이에 접속된 부속시설물의 부지, 노상주차장, 노외주차장, 건축물 부설주차장을 포함
▶자동차: 승용차, 승합차, 화물차, 특수차에 한함
",%,"경기도 수원시, 「수원기본통계」
",2010,95.90719969838555
대중교통 만족도,"대중교통 수단별 만족도
※ 만족도 = ""매우만족"" + ""약간만족"" 응답 비율
▶2017년 지하철, 기차, 택시, 2019년 지하철ㆍ경전철, 기차, 택시, 버스, 2021년부터 지하철ㆍ경전철, 기차, 택시, 시내/마을버스, 시외/고속버스로 구분
▶2019년 부터는 교통수단별 이용자의 만족도
",%,"경기도 수원시, 「수원시사회조사」",2010,
지하철(경전철),,%,"경기도 수원시, 「수원시사회조사」",2010,
기차,,%,"경기도 수원시, 「수원시사회조사」",2010,
택시,,%,"경기도 수원시, 「수원시사회조사」",2010,
버스,,%,"경기도 수원시, 「수원시사회조사」",2010,
시내/마을버스,,%,"경기도 수원시, 「수원시사회조사」",2010,
시외/고속버스,,%,"경기도 수원시, 「수원시사회조사」",2010,
보행환경 만족도,"주거지역, 수원도심(시내), 야간보행 환경별 만족도
※ 만족도 = 7점 척도 중 ⑤ + ⑥ + ⑦ 매우 만족한다 응답 비율",%,"수원시정연구원, 「수원서베이」",2010,
주거지역,,,,2010,
수원도심(시내),,,,2010,
야간보행,,,,2010,
개인형 이동수단 만족도,"킥보드 등 개인형 이동수단(PM)의 만족도
※ 만족도 = 7점 척도 중 ⑤ + ⑥ + ⑦ 매우 만족한다 응답 비율",%,"수원시정연구원, 「수원서베이」",2010,
폭염으로 인한 온열 질환자수,"온열질환자 수
▶구별 진료인원의 합
▶주상병코드: 열사병(T67.0), 열실신(T67.1), 열경련(T67.2), 열탈진(T67.3~67.5), 열부종(T67.7), 기타(T67.8~T67.9)
▶진료인원: 해당 구분별 진료인원(중복제외)
▶진료일 기준(한의분류 제외, 약국 제외), 건강보험 급여실적(의료급여 제외)이며, 비급여는 제외, 2024년 6월 지급분까지 반영
",명,"행정안전부 공공데이터포털, 국민건강보험공단_시군구별 온열질환자 수 
▶민원인의 공공데이터 제공 신청에 따라 연도별 및 연월별 데이터 재발췌(2024.11.28. 기준)",2010,201.0
자연재해 피해액,총 피해액,천원,"국민재난안전포털, 자연재난상황통계",2010,2177280.0
자동차 천대당 교통사고 발생건수,"자동차 천대당 발생한 교통사고 수
※ 자동차 천대당 교통사고 발생 건 수 = (교통사고발생건수 ÷ 자동차등록대수) × 1,000
▶교통사고: 도로교통법 제2조에 규정하는 도로에서 차의 교통으로 인하여 발생한 인적피해를 수반하는 교통사고로 차의 교통으로 인하여 사람을 사상한 사고 중 경찰에서 접수하여 처리한 사고
▶자동차: 승용차, 승합차, 화물차, 특수차에 한함
",건,"경찰청(교통안전과 교통안전계)
",2010,10.2
개인형 이동장치 교통 사고건수,"가해자운전자 차종별 교통사고 통계 내 개인형이동장치(PM) 사고 건수
▶사고년도 기준
",건,"한국도로교통공단, 교통사고분석시스템",2010,
화재발생건수,"지난 1년간 발생한 화재사고 건 수
▶화재: 사람의 의도에 반하거나 고의에 의해 발생하는 연소 현상으로서 소화시설 등을 사용하여 소화할 필요가 있거나 또는 화학적인 폭발현상을 말함",건,소방청(화재현황통계),2010,482.0
생활안전도,"자연재난, 사회재난, 정보보안, 감염병, 범죄위험 각각에 대해 안전하다고 느끼는 응답 비율
※ 안전하다 = 7점 척도 중 ⑤+⑥+⑦ 매우 안전하다 응답 비율
",%,"수원시정연구원, 「수원서베이」",2010,
자연재난,,%,"수원시정연구원, 「수원서베이」",2010,
사회재난,,%,"수원시정연구원, 「수원서베이」",2010,
정보보안,,%,"수원시정연구원, 「수원서베이」",2010,
감염병,,%,"수원시정연구원, 「수원서베이」",2010,
범죄위험,,%,"수원시정연구원, 「수원서베이」",2010,
일상생활 범죄피해 두려움,"일상생활 중에 범죄피해에 대한 두려움 정도(나 자신)
※ 두려움(나 자신) = 5점 척도 중 ""두려운 편이다(또는 조금 두렵다)"" + ""매우 두렵다"" 응답 비율
",%,"경기도 수원시, 「수원시사회조사」",2010,
자살률,"인구 10만명당 자살(고의적 자해)로 인해 사망한 사람의 수
※ 인구십만명당 자살률 = (자살 사망자수 ÷ 주민등록연앙인구) × 100,000
",십만명당 명,"통계청, 「사망원인통계」
",2010,30.0
보육환경만족도,"미취학 아동 부모의 보육환경(어린이집, 유치원 등) 만족도
※ 만족도 = 5점 척도 중 ""약간만족"" + ""매우만족"" 응답 비율",%,"경기도 수원시, 「수원시사회조사」",2010,
국공립어린이집이용률,"전체 어린이집 보육아동 중 국공립어린이집 보육아동 비율
※ 국·공립어린이집이용률 = (국·공립 어린이집 보육아동 수 ÷ 전체 어린이집 보육아동 수) × 100
▶보육아동수는 현원 현황임
",%,"경기도, 「경기도기본통계」 ",2010,6.170137939119222
교육환경 만족도,,,,2010,
공교육,"초중고 학부모의 공교육 환경 만족도
※ 만족도 = ""약간 만족"" + ""매우 만족"" 응답 비율",%,"경기도 수원시, 「수원시사회조사」",2010,
학교 교육 이외,"초중고 학부모의 학교 교육 이외 교육 만족도
※ 만족도 = ""그런 편이다"" + ""매우 그렇다"" 응답 비율",%,"경기도 수원시, 「수원시사회조사」",2010,
