Variable Name,Variable Label,Value Code,Value Label
Q1a2,문1. 한 주 간 삶의 질 - 2. 가치있는 존재라고 생각했다,3,③
Q1a2,문1. 한 주 간 삶의 질 - 2. 가치있는 존재라고 생각했다,4,④보통
Q1a2,문1. 한 주 간 삶의 질 - 2. 가치있는 존재라고 생각했다,5,⑤
Q1a2,문1. 한 주 간 삶의 질 - 2. 가치있는 존재라고 생각했다,6,⑥
Q1a2,문1. 한 주 간 삶의 질 - 2. 가치있는 존재라고 생각했다,7,⑦매우 그렇다
Q1a2,문1. 한 주 간 삶의 질 - 2. 가치있는 존재라고 생각했다,7.1,그렇지 않다
Q1a2,문1. 한 주 간 삶의 질 - 2. 가치있는 존재라고 생각했다,7.2,보통
Q1a2,문1. 한 주 간 삶의 질 - 2. 가치있는 존재라고 생각했다,7.3,그렇다
Q1a2,문1. 한 주 간 삶의 질 - 2. 가치있는 존재라고 생각했다,9,모름/무응답
Q1a3,문1. 한 주 간 삶의 질 - 3. 건강하다고 느꼈다,1,①전혀 그렇지 않다
Q1a3,문1. 한 주 간 삶의 질 - 3. 건강하다고 느꼈다,2,②
Q1a3,문1. 한 주 간 삶의 질 - 3. 건강하다고 느꼈다,3,③
Q1a3,문1. 한 주 간 삶의 질 - 3. 건강하다고 느꼈다,4,④보통
Q1a3,문1. 한 주 간 삶의 질 - 3. 건강하다고 느꼈다,5,⑤
Q1a3,문1. 한 주 간 삶의 질 - 3. 건강하다고 느꼈다,6,⑥
Q1a3,문1. 한 주 간 삶의 질 - 3. 건강하다고 느꼈다,7,⑦매우 그렇다
Q1a3,문1. 한 주 간 삶의 질 - 3. 건강하다고 느꼈다,7.1,그렇지 않다
Q1a3,문1. 한 주 간 삶의 질 - 3. 건강하다고 느꼈다,7.2,보통
Q1a3,문1. 한 주 간 삶의 질 - 3. 건강하다고 느꼈다,7.3,그렇다
Q1a3,문1. 한 주 간 삶의 질 - 3. 건강하다고 느꼈다,9,모름/무응답
Q1a4,문1. 한 주 간 삶의 질 - 4. 내 삶에 만족했다,1,①전혀 그렇지 않다
Q1a4,문1. 한 주 간 삶의 질 - 4. 내 삶에 만족했다,2,②
Q1a4,문1. 한 주 간 삶의 질 - 4. 내 삶에 만족했다,3,③
Q1a4,문1. 한 주 간 삶의 질 - 4. 내 삶에 만족했다,4,④보통
Q1a4,문1. 한 주 간 삶의 질 - 4. 내 삶에 만족했다,5,⑤
Q1a4,문1. 한 주 간 삶의 질 - 4. 내 삶에 만족했다,6,⑥
Q1a4,문1. 한 주 간 삶의 질 - 4. 내 삶에 만족했다,7,⑦매우 그렇다
Q1a4,문1. 한 주 간 삶의 질 - 4. 내 삶에 만족했다,7.1,그렇지 않다
Q1a4,문1. 한 주 간 삶의 질 - 4. 내 삶에 만족했다,7.2,보통
Q1a4,문1. 한 주 간 삶의 질 - 4. 내 삶에 만족했다,7.3,그렇다
Q1a4,문1. 한 주 간 삶의 질 - 4. 내 삶에 만족했다,9,모름/무응답
Q1a5,문1. 한 주 간 삶의 질 - 5. 외로웠다,1,①전혀 그렇지 않다
Q1a5,문1. 한 주 간 삶의 질 - 5. 외로웠다,2,②
Q1a5,문1. 한 주 간 삶의 질 - 5. 외로웠다,3,③
Q1a5,문1. 한 주 간 삶의 질 - 5. 외로웠다,4,④보통
Q1a5,문1. 한 주 간 삶의 질 - 5. 외로웠다,5,⑤
Q1a5,문1. 한 주 간 삶의 질 - 5. 외로웠다,6,⑥
Q1a5,문1. 한 주 간 삶의 질 - 5. 외로웠다,7,⑦매우 그렇다
Q1a5,문1. 한 주 간 삶의 질 - 5. 외로웠다,7.1,그렇지 않다
Q1a5,문1. 한 주 간 삶의 질 - 5. 외로웠다,7.2,보통
Q1a5,문1. 한 주 간 삶의 질 - 5. 외로웠다,7.3,그렇다
Q1a5,문1. 한 주 간 삶의 질 - 5. 외로웠다,9,모름/무응답
Q1a6,문1. 한 주 간 삶의 질 - 6. 걱정을 많이 했다,1,①전혀 그렇지 않다
Q1a6,문1. 한 주 간 삶의 질 - 6. 걱정을 많이 했다,2,②
Q1a6,문1. 한 주 간 삶의 질 - 6. 걱정을 많이 했다,3,③
Q1a6,문1. 한 주 간 삶의 질 - 6. 걱정을 많이 했다,4,④보통
Q1a6,문1. 한 주 간 삶의 질 - 6. 걱정을 많이 했다,5,⑤
Q1a6,문1. 한 주 간 삶의 질 - 6. 걱정을 많이 했다,6,⑥
Q1a6,문1. 한 주 간 삶의 질 - 6. 걱정을 많이 했다,7,⑦매우 그렇다
Q1a6,문1. 한 주 간 삶의 질 - 6. 걱정을 많이 했다,7.1,그렇지 않다
Q1a6,문1. 한 주 간 삶의 질 - 6. 걱정을 많이 했다,7.2,보통
Q1a6,문1. 한 주 간 삶의 질 - 6. 걱정을 많이 했다,7.3,그렇다
Q1a6,문1. 한 주 간 삶의 질 - 6. 걱정을 많이 했다,9,모름/무응답
Q1a7,문1. 한 주 간 삶의 질 - 7. 우울했다,1,①전혀 그렇지 않다
Q1a7,문1. 한 주 간 삶의 질 - 7. 우울했다,2,②
Q1a7,문1. 한 주 간 삶의 질 - 7. 우울했다,3,③
Q1a7,문1. 한 주 간 삶의 질 - 7. 우울했다,4,④보통
Q1a7,문1. 한 주 간 삶의 질 - 7. 우울했다,5,⑤
Q1a7,문1. 한 주 간 삶의 질 - 7. 우울했다,6,⑥
Q1a7,문1. 한 주 간 삶의 질 - 7. 우울했다,7,⑦매우 그렇다
Q1a7,문1. 한 주 간 삶의 질 - 7. 우울했다,7.1,그렇지 않다
Q1a7,문1. 한 주 간 삶의 질 - 7. 우울했다,7.2,보통
Q1a7,문1. 한 주 간 삶의 질 - 7. 우울했다,7.3,그렇다
Q1a7,문1. 한 주 간 삶의 질 - 7. 우울했다,9,모름/무응답
Q2,문2. 삶에서 가장 중요하게 생각하는 것,1,건강
Q2,문2. 삶에서 가장 중요하게 생각하는 것,2,행복한 가정
Q2,문2. 삶에서 가장 중요하게 생각하는 것,3,자신의 능력 개발
Q2,문2. 삶에서 가장 중요하게 생각하는 것,4,경제적 풍요
Q2,문2. 삶에서 가장 중요하게 생각하는 것,5,사회적 성공
Q2,문2. 삶에서 가장 중요하게 생각하는 것,6,정신적인 성숙
Q2,문2. 삶에서 가장 중요하게 생각하는 것,7,취미생활/여가
Q2,문2. 삶에서 가장 중요하게 생각하는 것,8,지식/학식
Q2,문2. 삶에서 가장 중요하게 생각하는 것,9,남성/여성과의 사랑
Q2,문2. 삶에서 가장 중요하게 생각하는 것,10,좋은 인간관계
Q2,문2. 삶에서 가장 중요하게 생각하는 것,11,외모
Q2,문2. 삶에서 가장 중요하게 생각하는 것,12,기타
Q3a1,문3. 수원시 환경만족도 - 1. 경제환경,1,①전혀 만족하지 않는다
Q3a1,문3. 수원시 환경만족도 - 1. 경제환경,2,②
Q3a1,문3. 수원시 환경만족도 - 1. 경제환경,3,③
Q3a1,문3. 수원시 환경만족도 - 1. 경제환경,4,④보통
Q3a1,문3. 수원시 환경만족도 - 1. 경제환경,5,⑤
Q3a1,문3. 수원시 환경만족도 - 1. 경제환경,6,⑥
Q3a1,문3. 수원시 환경만족도 - 1. 경제환경,7,⑦매우 만족한다
Q3a1,문3. 수원시 환경만족도 - 1. 경제환경,7.1,불만족
Q3a1,문3. 수원시 환경만족도 - 1. 경제환경,7.2,보통
Q3a1,문3. 수원시 환경만족도 - 1. 경제환경,7.3,만족
Q3a1,문3. 수원시 환경만족도 - 1. 경제환경,9,모름/무응답
Q3a2,문3. 수원시 환경만족도 - 2. 주거환경,1,①전혀 만족하지 않는다
Q3a2,문3. 수원시 환경만족도 - 2. 주거환경,2,②
Q3a2,문3. 수원시 환경만족도 - 2. 주거환경,3,③
Q3a2,문3. 수원시 환경만족도 - 2. 주거환경,4,④보통
Q3a2,문3. 수원시 환경만족도 - 2. 주거환경,5,⑤
Q3a2,문3. 수원시 환경만족도 - 2. 주거환경,6,⑥
Q3a2,문3. 수원시 환경만족도 - 2. 주거환경,7,⑦매우 만족한다
Q3a2,문3. 수원시 환경만족도 - 2. 주거환경,7.1,불만족
Q3a2,문3. 수원시 환경만족도 - 2. 주거환경,7.2,보통
Q3a2,문3. 수원시 환경만족도 - 2. 주거환경,7.3,만족
Q3a2,문3. 수원시 환경만족도 - 2. 주거환경,9,모름/무응답
Q3a3,문3. 수원시 환경만족도 - 3. 생활환경,1,①전혀 만족하지 않는다
Q3a3,문3. 수원시 환경만족도 - 3. 생활환경,2,②
Q3a3,문3. 수원시 환경만족도 - 3. 생활환경,3,③
Q3a3,문3. 수원시 환경만족도 - 3. 생활환경,4,④보통
Q3a3,문3. 수원시 환경만족도 - 3. 생활환경,5,⑤
Q3a3,문3. 수원시 환경만족도 - 3. 생활환경,6,⑥
Q3a3,문3. 수원시 환경만족도 - 3. 생활환경,7,⑦매우 만족한다
Q3a3,문3. 수원시 환경만족도 - 3. 생활환경,7.1,불만족
Q3a3,문3. 수원시 환경만족도 - 3. 생활환경,7.2,보통
Q3a3,문3. 수원시 환경만족도 - 3. 생활환경,7.3,만족
Q3a3,문3. 수원시 환경만족도 - 3. 생활환경,9,모름/무응답
Q3a4,문3. 수원시 환경만족도 - 4. 복지환경,1,①전혀 만족하지 않는다
Q3a4,문3. 수원시 환경만족도 - 4. 복지환경,2,②
Q3a4,문3. 수원시 환경만족도 - 4. 복지환경,3,③
Q3a4,문3. 수원시 환경만족도 - 4. 복지환경,4,④보통
Q3a4,문3. 수원시 환경만족도 - 4. 복지환경,5,⑤
Q3a4,문3. 수원시 환경만족도 - 4. 복지환경,6,⑥
Q3a4,문3. 수원시 환경만족도 - 4. 복지환경,7,⑦매우 만족한다
Q3a4,문3. 수원시 환경만족도 - 4. 복지환경,7.1,불만족
Q3a4,문3. 수원시 환경만족도 - 4. 복지환경,7.2,보통
Q3a4,문3. 수원시 환경만족도 - 4. 복지환경,7.3,만족
Q3a4,문3. 수원시 환경만족도 - 4. 복지환경,9,모름/무응답
Q3a5,문3. 수원시 환경만족도 - 5. 보건환경,1,①전혀 만족하지 않는다
Q3a5,문3. 수원시 환경만족도 - 5. 보건환경,2,②
Q3a5,문3. 수원시 환경만족도 - 5. 보건환경,3,③
Q3a5,문3. 수원시 환경만족도 - 5. 보건환경,4,④보통
Q3a5,문3. 수원시 환경만족도 - 5. 보건환경,5,⑤
Q3a5,문3. 수원시 환경만족도 - 5. 보건환경,6,⑥
Q3a5,문3. 수원시 환경만족도 - 5. 보건환경,7,⑦매우 만족한다
Q3a5,문3. 수원시 환경만족도 - 5. 보건환경,7.1,불만족
Q3a5,문3. 수원시 환경만족도 - 5. 보건환경,7.2,보통
Q3a5,문3. 수원시 환경만족도 - 5. 보건환경,7.3,만족
Q3a5,문3. 수원시 환경만족도 - 5. 보건환경,9,모름/무응답
Q3a6,문3. 수원시 환경만족도 - 6. 교육환경,1,①전혀 만족하지 않는다
Q3a6,문3. 수원시 환경만족도 - 6. 교육환경,2,②
Q3a6,문3. 수원시 환경만족도 - 6. 교육환경,3,③
Q3a6,문3. 수원시 환경만족도 - 6. 교육환경,4,④보통
Q3a6,문3. 수원시 환경만족도 - 6. 교육환경,5,⑤
Q3a6,문3. 수원시 환경만족도 - 6. 교육환경,6,⑥
Q3a6,문3. 수원시 환경만족도 - 6. 교육환경,7,⑦매우 만족한다
Q3a6,문3. 수원시 환경만족도 - 6. 교육환경,7.1,불만족
Q3a6,문3. 수원시 환경만족도 - 6. 교육환경,7.2,보통
Q3a6,문3. 수원시 환경만족도 - 6. 교육환경,7.3,만족
Q3a6,문3. 수원시 환경만족도 - 6. 교육환경,9,모름/무응답
Q3a7,문3. 수원시 환경만족도 - 7. 안전환경,1,①전혀 만족하지 않는다
Q3a7,문3. 수원시 환경만족도 - 7. 안전환경,2,②
Q3a7,문3. 수원시 환경만족도 - 7. 안전환경,3,③
Q3a7,문3. 수원시 환경만족도 - 7. 안전환경,4,④보통
Q3a7,문3. 수원시 환경만족도 - 7. 안전환경,5,⑤
Q3a7,문3. 수원시 환경만족도 - 7. 안전환경,6,⑥
Q3a7,문3. 수원시 환경만족도 - 7. 안전환경,7,⑦매우 만족한다
Q3a7,문3. 수원시 환경만족도 - 7. 안전환경,7.1,불만족
Q3a7,문3. 수원시 환경만족도 - 7. 안전환경,7.2,보통
Q3a7,문3. 수원시 환경만족도 - 7. 안전환경,7.3,만족
Q3a7,문3. 수원시 환경만족도 - 7. 안전환경,9,모름/무응답
Q3a8,문3. 수원시 환경만족도 - 8. 사회환경,1,①전혀 만족하지 않는다
Q3a8,문3. 수원시 환경만족도 - 8. 사회환경,2,②
Q3a8,문3. 수원시 환경만족도 - 8. 사회환경,3,③
Q3a8,문3. 수원시 환경만족도 - 8. 사회환경,4,④보통
Q3a8,문3. 수원시 환경만족도 - 8. 사회환경,5,⑤
Q3a8,문3. 수원시 환경만족도 - 8. 사회환경,6,⑥
Q3a8,문3. 수원시 환경만족도 - 8. 사회환경,7,⑦매우 만족한다
Q3a8,문3. 수원시 환경만족도 - 8. 사회환경,7.1,불만족
Q3a8,문3. 수원시 환경만족도 - 8. 사회환경,7.2,보통
Q3a8,문3. 수원시 환경만족도 - 8. 사회환경,7.3,만족
Q3a8,문3. 수원시 환경만족도 - 8. 사회환경,9,모름/무응답
Q4,문4. 직업,1,관리자
Q4,문4. 직업,2,전문가 및 관련 종사자
Q4,문4. 직업,3,사무 종사자
Q4,문4. 직업,4,서비스 종사자
Q4,문4. 직업,5,판매 종사자
Q4,문4. 직업,6,농림·어업 숙련 종사자
Q4,문4. 직업,7,기능원 및 관련 기능 종사자
Q4,문4. 직업,8,장치·기계 조작 및 조립 종사자
Q4,문4. 직업,9,단순노무 종사자
Q4,문4. 직업,10,학생
Q4,문4. 직업,11,주부
Q4,문4. 직업,12,무직
Q4,문4. 직업,13,기타
Q4op,문4. 직업_기타,,
Q4_1,문4-1. 고용형태,1,상용직 임금근로자
Q4_1,문4-1. 고용형태,2,임시직 임금근로자
Q4_1,문4-1. 고용형태,3,일용직 임금근로자
Q4_1,문4-1. 고용형태,4,특수고용 종사자
Q4_1,문4-1. 고용형태,5,고용원이 있는 자영업자
Q4_1,문4-1. 고용형태,6,고용원이 없는 자영업자
Q4_1,문4-1. 고용형태,7,무급가족종사자
Q4_2a1,문4-2. 자영업 매출액,1,300만원 미만
Q4_2a1,문4-2. 자영업 매출액,2,300~500만원 미만
Q4_2a1,문4-2. 자영업 매출액,3,500~1000만원 미만
Q4_2a1,문4-2. 자영업 매출액,4,1000~2000만원 미만
Q4_2a1,문4-2. 자영업 매출액,5,2000~3000만원 미만
Q4_2a1,문4-2. 자영업 매출액,6,3000만원 이상
Q4_2a2,문4-2. 자영업 영업이익,1,100만원 미만
Q4_2a2,문4-2. 자영업 영업이익,2,100~200만원 미만
Q4_2a2,문4-2. 자영업 영업이익,3,200~300만원 미만
Q4_2a2,문4-2. 자영업 영업이익,4,300~400만원 미만
Q4_2a2,문4-2. 자영업 영업이익,5,400~500만원 미만
Q4_2a2,문4-2. 자영업 영업이익,6,500만원 이상
Q5a1,문5. 소득 유무 - 1. 근로소득,1,소득 없음
Q5a1,문5. 소득 유무 - 1. 근로소득,2,소득 있음
Q5a2,문5. 소득 범위 - 1. 근로소득,1,100만원 미만
Q5a2,문5. 소득 범위 - 1. 근로소득,2,100~ 200만원 미만
Q5a2,문5. 소득 범위 - 1. 근로소득,3,200~ 300만원 미만
Q5a2,문5. 소득 범위 - 1. 근로소득,4,300~ 400만원 미만
Q5a2,문5. 소득 범위 - 1. 근로소득,5,400~ 500만원 미만
Q5a2,문5. 소득 범위 - 1. 근로소득,6,500만원 이상
Q5b1,문5. 소득 유무 - 2. 금융소득,1,소득 없음
Q5b1,문5. 소득 유무 - 2. 금융소득,2,소득 있음
Q5b2,문5. 소득 범위 - 2. 금융소득,1,100만원 미만
Q5b2,문5. 소득 범위 - 2. 금융소득,2,100~ 200만원 미만
Q5b2,문5. 소득 범위 - 2. 금융소득,3,200~ 300만원 미만
Q5b2,문5. 소득 범위 - 2. 금융소득,4,300~ 400만원 미만
Q5b2,문5. 소득 범위 - 2. 금융소득,5,400~ 500만원 미만
Q5b2,문5. 소득 범위 - 2. 금융소득,6,500만원 이상
Q5c1,문5. 소득 유무 - 3. 부동산소득,1,소득 없음
Q5c1,문5. 소득 유무 - 3. 부동산소득,2,소득 있음
Q5c2,문5. 소득 범위 - 3. 부동산소득,1,100만원 미만
Q5c2,문5. 소득 범위 - 3. 부동산소득,2,100~ 200만원 미만
Q5c2,문5. 소득 범위 - 3. 부동산소득,3,200~ 300만원 미만
Q5c2,문5. 소득 범위 - 3. 부동산소득,4,300~ 400만원 미만
Q5c2,문5. 소득 범위 - 3. 부동산소득,5,400~ 500만원 미만
Q5c2,문5. 소득 범위 - 3. 부동산소득,6,500만원 이상
Q5d1,문5. 소득 유무 - 4. 사회보험 수급액,1,소득 없음
Q5d1,문5. 소득 유무 - 4. 사회보험 수급액,2,소득 있음
Q5d2,문5. 소득 범위 - 4. 사회보험 수급액,1,100만원 미만
Q5d2,문5. 소득 범위 - 4. 사회보험 수급액,2,100~ 200만원 미만
Q5d2,문5. 소득 범위 - 4. 사회보험 수급액,3,200~ 300만원 미만
Q5d2,문5. 소득 범위 - 4. 사회보험 수급액,4,300~ 400만원 미만
Q5d2,문5. 소득 범위 - 4. 사회보험 수급액,5,400~ 500만원 미만
Q5d2,문5. 소득 범위 - 4. 사회보험 수급액,6,500만원 이상
Q5e1,문5. 소득 유무 - 5. 사회보험 이외 수급액,1,소득 없음
Q5e1,문5. 소득 유무 - 5. 사회보험 이외 수급액,2,소득 있음
Q5e2,문5. 소득 범위 - 5. 사회보험 이외 수급액,1,100만원 미만
Q5e2,문5. 소득 범위 - 5. 사회보험 이외 수급액,2,100~ 200만원 미만
Q5e2,문5. 소득 범위 - 5. 사회보험 이외 수급액,3,200~ 300만원 미만
Q5e2,문5. 소득 범위 - 5. 사회보험 이외 수급액,4,300~ 400만원 미만
Q5e2,문5. 소득 범위 - 5. 사회보험 이외 수급액,5,400~ 500만원 미만
Q5e2,문5. 소득 범위 - 5. 사회보험 이외 수급액,6,500만원 이상
Q5f1,문5. 소득 유무 - 6. 기타소득,1,소득 없음
Q5f1,문5. 소득 유무 - 6. 기타소득,2,소득 있음
Q5f2,문5. 소득 범위 - 6. 기타소득,1,100만원 미만
Q5f2,문5. 소득 범위 - 6. 기타소득,2,100~ 200만원 미만
Q5f2,문5. 소득 범위 - 6. 기타소득,3,200~ 300만원 미만
Q5f2,문5. 소득 범위 - 6. 기타소득,4,300~ 400만원 미만
Q5f2,문5. 소득 범위 - 6. 기타소득,5,400~ 500만원 미만
Q5f2,문5. 소득 범위 - 6. 기타소득,6,500만원 이상
Q6a1,문6. 지출 유무 - 1. 식비,1,지출 없음
Q6a1,문6. 지출 유무 - 1. 식비,2,지출 있음
Q6a2,문6. 지출 금액 - 1. 식비,1,20만원 미만
Q6a2,문6. 지출 금액 - 1. 식비,2,20~ 40만원 미만
Q6a2,문6. 지출 금액 - 1. 식비,3,40~ 60만원 미만
Q6a2,문6. 지출 금액 - 1. 식비,4,60~ 80만원 미만
Q6a2,문6. 지출 금액 - 1. 식비,5,80~ 100만원 미만
Q6a2,문6. 지출 금액 - 1. 식비,6,100만원 이상
Q6b1,문6. 지출 유무 - 2. 주거비,1,지출 없음
Q6b1,문6. 지출 유무 - 2. 주거비,2,지출 있음
Q6b2,문6. 지출 금액 - 2. 주거비,1,20만원 미만
Q6b2,문6. 지출 금액 - 2. 주거비,2,20~ 40만원 미만
Q6b2,문6. 지출 금액 - 2. 주거비,3,40~ 60만원 미만
Q6b2,문6. 지출 금액 - 2. 주거비,4,60~ 80만원 미만
Q6b2,문6. 지출 금액 - 2. 주거비,5,80~ 100만원 미만
Q6b2,문6. 지출 금액 - 2. 주거비,6,100만원 이상
Q6c1,문6. 지출 유무 - 3. 생필품 구입비,1,지출 없음
Q6c1,문6. 지출 유무 - 3. 생필품 구입비,2,지출 있음
Q6c2,문6. 지출 금액 - 3. 생필품 구입비,1,20만원 미만
Q6c2,문6. 지출 금액 - 3. 생필품 구입비,2,20~ 40만원 미만
Q6c2,문6. 지출 금액 - 3. 생필품 구입비,3,40~ 60만원 미만
Q6c2,문6. 지출 금액 - 3. 생필품 구입비,4,60~ 80만원 미만
Q6c2,문6. 지출 금액 - 3. 생필품 구입비,5,80~ 100만원 미만
Q6c2,문6. 지출 금액 - 3. 생필품 구입비,6,100만원 이상
Q6d1,문6. 지출 유무 - 4. 문화생활/오락비,1,지출 없음
Q6d1,문6. 지출 유무 - 4. 문화생활/오락비,2,지출 있음
Q6d2,문6. 지출 금액 - 4. 문화생활/오락비,1,20만원 미만
Q6d2,문6. 지출 금액 - 4. 문화생활/오락비,2,20~ 40만원 미만
Q6d2,문6. 지출 금액 - 4. 문화생활/오락비,3,40~ 60만원 미만
Q6d2,문6. 지출 금액 - 4. 문화생활/오락비,4,60~ 80만원 미만
Q6d2,문6. 지출 금액 - 4. 문화생활/오락비,5,80~ 100만원 미만
Q6d2,문6. 지출 금액 - 4. 문화생활/오락비,6,100만원 이상
Q6e1,문6. 지출 유무 - 5. 경조사비,1,지출 없음
Q6e1,문6. 지출 유무 - 5. 경조사비,2,지출 있음
Q6e2,문6. 지출 금액 - 5. 경조사비,1,20만원 미만
Q6e2,문6. 지출 금액 - 5. 경조사비,2,20~ 40만원 미만
Q6e2,문6. 지출 금액 - 5. 경조사비,3,40~ 60만원 미만
Q6e2,문6. 지출 금액 - 5. 경조사비,4,60~ 80만원 미만
Q6e2,문6. 지출 금액 - 5. 경조사비,5,80~ 100만원 미만
Q6e2,문6. 지출 금액 - 5. 경조사비,6,100만원 이상
Q6f1,문6. 지출 유무 - 6. 통신비,1,지출 없음
Q6f1,문6. 지출 유무 - 6. 통신비,2,지출 있음
Q6f2,문6. 지출 금액 - 6. 통신비,1,20만원 미만
Q6f2,문6. 지출 금액 - 6. 통신비,2,20~ 40만원 미만
Q6f2,문6. 지출 금액 - 6. 통신비,3,40~ 60만원 미만
Q6f2,문6. 지출 금액 - 6. 통신비,4,60~ 80만원 미만
Q6f2,문6. 지출 금액 - 6. 통신비,5,80~ 100만원 미만
Q6f2,문6. 지출 금액 - 6. 통신비,6,100만원 이상
Q6g1,문6. 지출 유무 - 7. 의류 구입비,1,지출 없음
Q6g1,문6. 지출 유무 - 7. 의류 구입비,2,지출 있음
Q6g2,문6. 지출 금액 - 7. 의류 구입비,1,20만원 미만
Q6g2,문6. 지출 금액 - 7. 의류 구입비,2,20~ 40만원 미만
Q6g2,문6. 지출 금액 - 7. 의류 구입비,3,40~ 60만원 미만
Q6g2,문6. 지출 금액 - 7. 의류 구입비,4,60~ 80만원 미만
Q6g2,문6. 지출 금액 - 7. 의류 구입비,5,80~ 100만원 미만
Q6g2,문6. 지출 금액 - 7. 의류 구입비,6,100만원 이상
Q6h1,문6. 지출 유무 - 8. 차량유지비,1,지출 없음
Q6h1,문6. 지출 유무 - 8. 차량유지비,2,지출 있음
Q6h2,문6. 지출 금액 - 8. 차량유지비,1,20만원 미만
